movie_id,title,industry,release_date,release_year,release_weekday,genre,languages,num_languages,weekend1_collection_cr,worldwide_collection_cr,india_net_cr,india_gross_cr,overseas_cr
11131,Santhosha Sangeetha,Kannada,08-11-24,2024,4,Drama|Romantic,Kannada,1,0.03,0.05,0.05,0.05,
11122,Asuraru,Kannada,08-11-24,2024,4,Action|Drama,Kannada,1,,0.01,0.01,0.01,
11118,Legend Director,Kannada,01-11-24,2024,4,Drama,Kannada,1,,0.02,0.02,0.02,
11114,Ugravathara,Kannada,01-11-24,2024,4,Crime|Drama,Kannada,1,0.19,0.43,0.39,0.43,
11109,Lucky Baskhar,Telugu,31-10-24,2024,3,Crime|Thriller,Kannada|Malayalam|Tamil|Telugu,4,28.5,113.64,74.83,86.54,27.1
11113,Bagheera,Kannada,31-10-24,2024,3,Action|Thriller,Kannada|Telugu,2,12.9,24.99,21.23,24.99,0
9609,Amaran,Tamil,31-10-24,2024,3,Action|Drama|Thriller|War,Hindi|Kannada|Malayalam|Tamil|Telugu,5,83.1,333.67,220.05,253.67,80
11095,Obbattu,Kannada,25-10-24,2024,4,Comedy|Suspense|Thriller,Kannada,1,,,,,
11086,Praapthi,Kannada,25-10-24,2024,4,Suspense|Thriller,Kannada,1,0.06,0.07,0.07,0.07,
11075,Mooka Jeeva,Kannada,25-10-24,2024,4,Drama,Kannada,1,0.04,0.07,0.07,0.07,
11074,Nassab,Kannada,25-10-24,2024,4,Drama,Kannada,1,0.03,0.03,0.03,0.03,
11066,Ellige Payana Yavudo Daari,Kannada,25-10-24,2024,4,Suspense|Thriller,Kannada,1,0.1,0.21,0.18,0.21,
11065,Yalakunni,Kannada,25-10-24,2024,4,Comedy,Kannada,1,0.42,0.85,0.77,0.85,
11070,Pani,Malayalam,24-10-24,2024,3,Action|Crime|Drama,Kannada|Malayalam|Tamil|Telugu,4,7.11,36.4,19.76,23,13.4
11049,Maantrika,Kannada,18-10-24,2024,4,Drama,Kannada,1,,0.02,0.02,0.02,
11048,Murphy,Kannada,18-10-24,2024,4,Drama|Romantic,Kannada,1,0.08,0.25,0.23,0.25,
